title,text
Danny Trejo,Death Wish 4: The Crackdown
Danny Trejo,The Hidden
Danny Trejo,Bulletproof
Danny Trejo,Guns
Danny Trejo,The Last Hour
Danny Trejo,Sex Crimes
Danny Trejo,"Love, Cheat & Steal"
Danny Trejo,The Stranger
Danny Trejo,Desperado
Danny Trejo,Heat
Danny Trejo,From Dusk Till Dawn
Danny Trejo,Anaconda
Danny Trejo,Con Air
Danny Trejo,The Replacement Killers
Danny Trejo,Point Blank
Danny Trejo,Champions
Danny Trejo,Six Days Seven Nights
Danny Trejo,Inferno
Danny Trejo,Reindeer Games
Danny Trejo,Nightstalker
Danny Trejo,xXx
Danny Trejo,Once Upon a Time in Mexico
Danny Trejo,Venice Underground
Danny Trejo,Furnace
Danny Trejo,Halloween
Danny Trejo,Alone in the Dark II
Danny Trejo,Necessary Evil
Danny Trejo,La Linea - The Line
Danny Trejo,Eyeborgs
Danny Trejo,Predators
Danny Trejo,Gun
Danny Trejo,The Lazarus Papers
Danny Trejo,Boston Girls
Danny Trejo,Shadow in Paradise
Danny Trejo,The Killing Jar
Danny Trejo,Recoil
Danny Trejo,House of the Rising Sun
Danny Trejo,Poolboy: Drowning Out the Fury
Danny Trejo,Sushi Girl
Danny Trejo,Haunted High
Danny Trejo,The Cloth
Danny Trejo,The Contractor
Danny Trejo,Force of Execution
Danny Trejo,Zombie Hunter
Danny Trejo,3-Headed Shark Attack
Danny Trejo,Abducted
Danny Trejo,The Burning Dead
Danny Trejo,"The Good, the Bad, and the Dead"
Danny Trejo,The Night Crew
Danny Trejo,The Ridiculous 6
Danny Trejo,Hope Lost
Danny Trejo,VANish
Danny Trejo,1st Strike
Danny Trejo,Boost
Danny Trejo,Cyborg X
Danny Trejo,Halloweed
Danny Trejo,Map of Hell
Danny Trejo,Range 15
Danny Trejo,All About The Money
Danny Trejo,Dead Again In Tombstone
Danny Trejo,Mutafukaz
Danny Trejo,Murder in the Woods
Danny Trejo,Juarez 2045
Danny Trejo,Fury of the Fist and the Golden Fleece
Danny Trejo,Silencer
Danny Trejo,3 from Hell
Danny Trejo,Bullets of Justice
Danny Trejo,The Protector
Danny Trejo,The Spongebob Movie: Sponge on the Run
Danny Trejo,Death Rider in the House of Vampires
Christopher Lee,Penny and the Pownall Case
Christopher Lee,Cross-Roads
Christopher Lee,The Dark Avenger
Christopher Lee,Beyond Mombasa
Christopher Lee,The Curse of Frankenstein
Christopher Lee,Ill Met by Moonlight
Christopher Lee,The Truth About Women
Christopher Lee,Battle of the V-1
Christopher Lee,Corridors of Blood
Christopher Lee,Horror of Dracula
Christopher Lee,A Tale of Two Cities
Christopher Lee,The Mummy
Christopher Lee,Horror Hotel
Christopher Lee,The Two Faces of Dr. Jekyll
Christopher Lee,Beat Girl
Christopher Lee,Hercules in the Haunted World
Christopher Lee,The Terror of the Tongs
Christopher Lee,The Pirates of Blood River
Christopher Lee,Horror Castle
Christopher Lee,The Whip and the Body
Christopher Lee,The Castle of the Living Dead
Christopher Lee,The Devil Ship Pirates
Christopher Lee,Dr. Terror’s House of Horrors
Christopher Lee,She
Christopher Lee,The Skull
Christopher Lee,Dracula: Prince of Darkness
Christopher Lee,Rasputin: The Mad Monk
Christopher Lee,Circus of Fear
Christopher Lee,The Torture Chamber of Dr. Sadism
Christopher Lee,Blood Fiend
Christopher Lee,Night of the Big Heat
Christopher Lee,Curse of the Crimson Altar
Christopher Lee,Dracula Has Risen from the Grave
Christopher Lee,The Oblong Box
Christopher Lee,Count Dracula
Christopher Lee,Taste the Blood of Dracula
Christopher Lee,Scars of Dracula
Christopher Lee,The House That Dripped Blood
Christopher Lee,"I, Monster"
Christopher Lee,Dracula AD 1972
Christopher Lee,The Satanic Rites of Dracula
Christopher Lee,Dark Places
Christopher Lee,The Man with the Golden Gun
Christopher Lee,The Four Musketeers
Christopher Lee,"To the Devil, a Daughter"
Christopher Lee,Airport '77
Christopher Lee,1941
Christopher Lee,Arabian Adventure
Christopher Lee,The Passage
Christopher Lee,The Last Unicorn
Christopher Lee,The Return of Captain Invincible
Christopher Lee,House of the Long Shadows
Christopher Lee,Howling II: Your Sister Is A Werewolf
Christopher Lee,Mio in the Land of Faraway
Christopher Lee,Return of the Three Musketeers
Christopher Lee,Gremlins 2: The New Batch
Christopher Lee,Tale of the Mummy
Christopher Lee,Jinnah
Christopher Lee,The Lord of the Rings: The Return of the King
Christopher Lee,Crimson Rivers II: Angels of the Apocalypse
Christopher Lee,Star Wars Episode III: Revenge of the Sith
Christopher Lee,Alice in Wonderland
Christopher Lee,Burke and Hare
Christopher Lee,Season of the Witch
Christopher Lee,The Resident
Lance Henriksen,The Visitor
Lance Henriksen,The Terminator
Lance Henriksen,Near Dark
Lance Henriksen,Pumpkinhead
Lance Henriksen,Johnny Handsome
Lance Henriksen,Hit List
Lance Henriksen,The Pit and the Pendulum
Lance Henriksen,Stone Cold
Lance Henriksen,Jennifer Eight
Lance Henriksen,Alien 3
Lance Henriksen,Excessive Force
Lance Henriksen,Hard Target
Lance Henriksen,Man's Best Friend
Lance Henriksen,No Escape
Lance Henriksen,Dead Man
Lance Henriksen,The Quick and the Dead
Lance Henriksen,Last Assassins
Lance Henriksen,No Contest II: Face the Evil
Lance Henriksen,Tarzan
Lance Henriksen,Scream 3
Lance Henriksen,The Mangler 2
Lance Henriksen,The Invitation
Lance Henriksen,Mimic 3: Sentinel
Lance Henriksen,Dream Warrior
Lance Henriksen,Alien vs. Predator
Lance Henriksen,Madhouse
Lance Henriksen,Out for Blood
Lance Henriksen,Hellraiser: Hellworld
Lance Henriksen,Abominable
Lance Henriksen,The Da Vinci Treasure
Lance Henriksen,Superman: Brainiac Attacks
Lance Henriksen,The Garden
Lance Henriksen,Prairie Fever
Lance Henriksen,B
Lance Henriksen,Appaloosa
Lance Henriksen,The Seamstress
Lance Henriksen,Screamers: The Hunting
Lance Henriksen,The Lost Tribe
Lance Henriksen,Good Day for It
Lance Henriksen,It's In the Blood
Lance Henriksen,Phantom
Lance Henriksen,Alien Rising
Lance Henriksen,Dark Awakening
Lance Henriksen,Hollows Grove
Lance Henriksen,Garm Wars: The Last Druid
Lance Henriksen,Harbinger Down
Lance Henriksen,Stung
Lance Henriksen,The Unwilling
Lance Henriksen,Daylight's End
Lance Henriksen,Needlestick
Lance Henriksen,Mom and Dad
Lance Henriksen,This Old Machine
Lance Henriksen,Gone Are the Days
Lance Henriksen,Exorcism at 60.000 Feet
Lance Henriksen,Eminence Hill
Lance Henriksen,The Unhealer
Mel Blanc,Daffy Duck and the Dinosaur
Mel Blanc,Jitterbug Follies
Mel Blanc,Ali Baba Bound
Mel Blanc,The Sour Puss
Mel Blanc,The Lonesome Stranger
Mel Blanc,The Haunted Mouse
Mel Blanc,Notes To You
Mel Blanc,Double Chaser
Mel Blanc,The Ducktators
Mel Blanc,Foney Fables
Mel Blanc,Confusions of a Nutzy Spie
Mel Blanc,Spies
Mel Blanc,The Goldbrick
Mel Blanc,Tortoise Wins by a Hare
Mel Blanc,An Itch in Time
Mel Blanc,Booby Traps
Mel Blanc,Private Snafu vs. Malaria Mike
Mel Blanc,A Lecture on Camouflage
Mel Blanc,Bugs Bunny Nips The Nips
Mel Blanc,Birdy and the Beast
Mel Blanc,Plane Daffy
Mel Blanc,Going Home
Mel Blanc,Angel Puss
Mel Blanc,The Chow Hound
Mel Blanc,Draftee Daffy
Mel Blanc,No Buddy Atoll
Mel Blanc,Tokyo Woes
Mel Blanc,Peck Up Your Troubles
Mel Blanc,Bacall To Arms
Mel Blanc,Rhapsody Rabbit
Mel Blanc,The Foxy Duckling
Mel Blanc,A Horsefly Fleas
Mel Blanc,I Taw A Putty Tat
Mel Blanc,Back Alley Oproar
Mel Blanc,Buccaneer Bunny
Mel Blanc,Mouse Mazurka
Mel Blanc,The Scarlet Pumpernickel
Mel Blanc,"Bye, Bye Bluebeard"
Mel Blanc,The Ducksters
Mel Blanc,Tom Tom Tomcat
Mel Blanc,Satan's Waitin'
Mel Blanc,Speedy Gonzales'
Mel Blanc,"What's Opera, Doc?"
Mel Blanc,Showbiz Bugs
Mel Blanc,Hare-abian Nights
Mel Blanc,Wild and Woolly Hare
Mel Blanc,Bonanza Bunny
Mel Blanc,Tweet and Lovely
Mel Blanc,Horse Hare
Mel Blanc,The Abominable Snowrabbit
Mel Blanc,Rebel Without Claws
Mel Blanc,Devil's Feud Cake
Mel Blanc,Dumb Patrol
Mel Blanc,Daffy Duck's Quackbusters
John Carradine,The Sign of the Cross
John Carradine,To the Last Man
John Carradine,The Black Cat
John Carradine,Mary of Scotland
John Carradine,"Thank You, Mr. Moto"
John Carradine,Mr. Moto's Last Warning
John Carradine,Drums Along the Mohawk
John Carradine,Five Came Back
John Carradine,Stagecoach
John Carradine,The Grapes of Wrath
John Carradine,The Return of Frank James
John Carradine,Manhunt
John Carradine,Captive Wild Woman
John Carradine,Hitler's Madman
John Carradine,Revenge of the Zombies
