Name,Movie,Year,Cause of Death
Joseph Cotten,Shadow of a Doubt,1943,Impact
Joseph Cotten,Niagara,1953,Drowning
Joseph Cotten,The Last Sunset,1961,Firearms
Joseph Cotten,"Hush...Hush, Sweet Charlotte",1964,Impact
Joseph Cotten,The Money Trap,1965,Vehicular
Joseph Cotten,Hellbenders,1967,Firearms
Joseph Cotten,Lady Frankenstein,1971,Impact
Joseph Cotten,The Torture Chamber of Baron Blood,1972,Other
Joseph Cotten,Soylent Green,1973,Personal Weapons
Joseph Cotten,Syndicate Sadists,1975,Firearms
Joseph Cotten,The Perfect Crime,1978,Ailment
Joseph Cotten,Screamers,1979,Firearms
Joseph Cotten,The Hearse,1980,Strangulation
Bryan Cranston,Dead Space,1991,Cutting Instrument
Bryan Cranston,Terror Tract,2000,Supernatural
Bryan Cranston,Drive,2011,Vehicular
Bryan Cranston,John Carter,2012,Supernatural
Bryan Cranston,Total Recall,2012,Explosives
Bryan Cranston,Cold Comes the Night,2013,Firearms
Bryan Cranston,Godzilla,2014,Other
Bryan Cranston,Trumbo,2015,Ailment
Bryan Cranston,All the Way,2016,Ailment
Bryan Cranston,Power Rangers,2017,Supernatural
Bryan Cranston,Argylle,2024,Firearms
Janet Margolin,Morituri,1965,Firearms
Janet Margolin,Last Embrace,1979,Impact
Colin Farrell (I),Ordinary Decent Criminal,2000,Firearms
Colin Farrell (I),Minority Report,2002,Firearms
Colin Farrell (I),Intermission,2003,Firearms
Colin Farrell (I),Alexander,2004,Ailment
Colin Farrell (I),Cassandras Dream,2007,Drowning
Colin Farrell (I),In Bruges,2008,Firearms
Colin Farrell (I),Pride and Glory,2008,Personal Weapons
Colin Farrell (I),The Imaginarium of Dr. Parnassus,2009,Strangulation
Colin Farrell (I),London Boulevard,2010,Cutting Instrument
Colin Farrell (I),Fright Night,2011,Supernatural
Colin Farrell (I),Horrible Bosses,2011,Firearms
Colin Farrell (I),Saving Mr. Banks,2013,Other
Colin Farrell (I),Winters Tale,2014,Drowning
Colin Farrell (I),Solace,2015,Firearms
Colin Farrell (I),The Beguiled,2017,Poison
Colin Farrell (I),Ava,2020,Firearms
Colin Farrell (I),Voyagers,2021,Ailment
Rhona Mitra,Get Carter,2000,Narcotics
Rhona Mitra,The Number 23,2007,Cutting Instrument
Rhona Mitra,Underworld: Rise of the Lycans,2009,Fire
Rhona Mitra,Hard Target 2,2016,Firearms
Rhona Mitra,"Game Over, Man!",2018,Cutting Instrument
Heath Ledger,The Patriot,2000,Cutting Instrument
Heath Ledger,Monsters Ball,2001,Supernatural
Heath Ledger,Ned Kelly,2003,Strangulation
Heath Ledger,The Dark Knight,2008,Other
Heath Ledger,The Imaginarium of Dr. Parnassus,2009,Strangulation
Robin Williams,The World According to Garp,1982,Firearms
Robin Williams,The Adventures of Baron Munchausen,1988,Supernatural
Robin Williams,The Secret Agent,1996,Explosives
Robin Williams,Hamlet,1996,Cutting Instrument
Robin Williams,What Dreams May Come,1998,Vehicular
Robin Williams,Bicentennial Man,1999,Ailment
Robin Williams,Jakob the Liar,1999,Firearms
Robin Williams,Insomnia,2002,Firearms
Robin Williams,The Final Cut,2004,Cutting Instrument
Robin Williams,Lee Daniels The Butler,2013,Other
Robin Williams,The Angriest Man in Brooklyn,2014,Ailment
Robin Williams,Night at the Museum: Secret of the Tomb,2014,Other
Jean-Claude Van Damme,Black Eagle,1988,Animals
Jean-Claude Van Damme,Kickboxer 2,1991,Other
Jean-Claude Van Damme,Universal Soldier,1992,Firearms
Jean-Claude Van Damme,Maximum Risk,1996,Vehicular
Jean-Claude Van Damme,The Order,2001,Cutting Instrument
Jean-Claude Van Damme,Replicant,2001,Fire
Jean-Claude Van Damme,Until Death,2007,Firearms
Jean-Claude Van Damme,The Expendables 2,2012,Cutting Instrument
Jean-Claude Van Damme,Universal Soldier: Day of Reckoning,2012,Cutting Instrument
Jean-Claude Van Damme,Enemies Closer,2013,Explosives
Jean-Claude Van Damme,Swelter,2014,Cutting Instrument
Jean-Claude Van Damme,Pound of Flesh,2015,Blunt Objects
Channing Tatum,Public Enemies,2009,Firearms
